652850|4.78,4.77,4.49,4.49,4.03
652851|2.03,0.27,0.25,1.68,0.34
652852|2.16,0.67,2.6,2.6,2.49
652853|1.99,1.69,1.84,1.69,0.2
652855|18,17.99,17.99,17.99,17.99
652856|3.16,1.98,0.96,2.2,1.89
652858|3.57,3.99,3.07,4.83,4.99
652860|1.01,2.5,1,2.5,1.4
652861|12.8,12.8,13.62,14.46,14.64
652862|5.09,5.64,5.5,4.59,25.98
652863|1.68,0.25,1.61,3.27,1.61
652864|0.25,1.5,1,1,0.01
652865|1.54,1.52,0.05,0.14,1.02
652866|0.04,1.5,0.05,1.5,0.05
652867|0.05,0.05,0.25,1.04,1.54
652868|0.09,0.05,1.52,0.07,1.5
652869|1.64,0.15,1.59,1.09,1.64
652871|0.05,0.1,0.15,1.53,1
652872|0.09,1.54,0.16,0.05,0.16
652873|0.11,1.54,1.54,0.14,1.61
652874|0.21,0.24,0.05,0.5,1.54
652875|1.61,1.74,0.25,0.3,0.08
652876|1.72,1.73,1.74,0.24,0.3
652877|1.34,1.56,0.07,0.25,1.56
652878|0.1,1.58,3.14,0.25,1.08
652879|2.14,1.54,0.25,1.54,0.15
652880|1.64,1.36,0.24,20.34,0.07
652881|0.1,0.05,1.62,0.05,1.54
652882|1.51,0.09,0.5,0.05,0.25
652883|0.16,1.04,0.17,0.14,1.61
652884|1.71,0.75,1.77,3.49,1.84
652885|1.54,2.45,1.99,0.96,0.25
652886|2.65,2.66,2.29,0.75,2.29
652887|1.72,1.72,1.59,1.69,0.25
652888|0.1,1.59,0.19,1.09,1.48
652889|1.54,1.51,0.1,1.51,0.1
652890|1.69,1.88,0.32,0.45,0.4
652891|2.06,0.9,0.96,1,0.97
652892|2.18,1.68,1.68,0.5,1.82
652893|1.7,0.38,0.44,0.4,0.4
652895|1.78,1.69,1.69,0.31,1.79
652896|2.73,1.53,1.25,1.25,1.33
652897|1.43,2.84,22.98,1.79,2.98
652898|26,26.48,26.5,30,28.96
652899|0.5,0.3,0.32,1.72,0.21
652900|1.53,1.59,0.25,0.18,0.25
652901|9.36,9.36,29.98,9.36,9
652902|15.48,15.49,15.49,15.49,15.5
652903|7.74,7.73,8.95,6.99,6.99
652905|65.98,66.95,65.99,66.49,65.99
652906|31.5,36.9,31.5,31.5,31.5
652907|0.05,1.5,1,0.3,1.56
652908|1.57,0.04,0.01,0.15,1.5
652909|1.56,1.59,1.56,1.56,1.56
652911|0.15,1.54,0.2,0.1,0.2
652912|0.12,1.61,1.73,1.74,0.25
652913|1.5,1.71,1,1.58,0.1
652914|0.05,0.06,0.2,0.05,0.2
652915|0.3,0.25,0.12,0.05,1.5
652916|1.59,1.75,0.26,0.1,1.59
652917|1.3,0.07,1.5,1.56,0.05
652918|1.3,0.13,0.25,0.05,0.11
652919|0.08,0.15,0.75,12.08,0.25
652920|1.54,1.54,0.05,2.25,0.3
652921|0.15,1.58,1,0.01,0.05
652922|1.41,1.69,0.44,20.98,0.25
652923|0.08,0.08,1.57,0.08,1.54
652924|1.59,0.24,0.23,0.09,1.58
652925|0.26,1.79,1.94,1.12,0.16
652926|0.04,0.09,1.59,0.06,1.53
652927|1.58,0.05,0.2,0.4,0.1
652928|1.7,1.57,3.18,1.63,0.25
652929|1.79,1.99,0.59,0.75,2.04
652930|1.54,0.05,0.75,0.13,1.54
652931|0.07,1.5,1.5,1.54,1.54
